data,current_date
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/ac96b10b69b888d9b3cd05a1396ee57455992da3', 'cupos': '102 | Inscriptos: 102', 'description': 'Día y horario: Martes de 17:30 a 19:30 h. Comienzo: 6/8 Hasta: 3/9 Requisitos: Participar del 75% de la asistencia + examen final + encuesta'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/1f8a0a006f84e5f810c65052812260ec144efd07', 'cupos': '100 | Inscriptos: 2', 'description': 'Jueves 16:00 18:00h Inicia la semana del 5 de Agosto hasta la semana del 30 de Octubre'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/d0d542d663ef19fb6487250b06f7da9aac1f5fce', 'cupos': '20 | Inscriptos: 5', 'description': 'De 14:00 a 16:00h Desde la semana del 5 de agosto hasta la semana del 30 de Octubre Lugar: Campo de deportes Austral'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/9d731cc8aa24ee6997547582be4090ebb2b2b8bd', 'cupos': '25 | Inscriptos: 6', 'description': 'Jueves de 15:00 a 16:00h Desde la semana del 5 de agosto hasta la semana del 30 de Octubre Lugar: Campo de deportes Austral'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/277ccc3d707017ebc569153c42a6e5e910f31fd8', 'cupos': '20 | Inscriptos: 3', 'description': 'Lunes y jueves de 18:30 a 20h Campo de deportes Austral. Inicia la semana del 29 de julio'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/bec661fe4c85f550eea1e01f476fe98d003f2887', 'cupos': '50 | Inscriptos: 38', 'description': 'Descubrí como abordar lo diferente desde el aprendizaje de la interculturalidad. Una vez que te anotaste escribí a mundo@austral.edu.ar para participar de la sesión de introducción a la interculturalidad y de las actividades. Modalidad: Virtual (1 sesión) + Presencial: 3 actividades a elección'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/e3c9214021e6058fea13b7f32c4b01dbf27cda81', 'cupos': '', 'description': ''}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/6e3d1433652ca4ed51b403371c8b57436861abd0', 'cupos': '50 | Inscriptos: 22', 'description': 'Inducción el viernes 2/8, 13hs presencial Días: martes o jueves, de 16.30 a 18hs. Sumate a un equipo de alumnos y contribuí a mejorar las trayectorias educativas en Prácticas del Lenguaje y Matemática (Pool desde la Universidad)'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/d16ef468a9d2a82e5cc6405ca8d20b567abd00c5', 'cupos': '', 'description': ''}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/caeb95d5e912d657c1b43f8515fb8b676514605a', 'cupos': '', 'description': ''}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/ba26c603ba807e9c3c11cb058aac1f94a0995af7', 'cupos': '', 'description': ''}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/81d4c6a1f832f7969a1b1ff244272b48d720ddc4', 'cupos': '', 'description': ''}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/ea344d15db8a440cbf37a888149e379c3e09bb22', 'cupos': '50 | Inscriptos: 0', 'description': 'Día miércoles desde el 31/7 hasta Noviembre, 16:00 a 18h. Más una hora asincrónica. Más info: sposleman@austral.edu.ar'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/e0198e34f6942277f1d470f3bb4e610d43a7e47e', 'cupos': '', 'description': ''}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/65c9f0ba67bce533dde01a28ea2fe7c494180f79', 'cupos': '45 | Inscriptos: 43', 'description': 'Nueva Inscripción abierta hasta el 31/7 con costo e inscripción en web de TECHO. Instancias:Taller de inducción virtual 31/7 13hs +Construcción empieza Viernes 9, 10 y 11/8 +Trabajo en comunidad + Informe de reflexión. Consultas, inquietudes, más información, escribinos: accionsocial@austral.edu.ar'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/bcd44e39916d6176aaf08262f2a13296b67fd62d', 'cupos': '30 | Inscriptos: 13', 'description': 'Día y horario: Lunes de 14 a 15:30h Desde la semana del 5 de agosto hasta la semana del 30 de Octubre. Lugar: Campo de deportes Austral'}",2024-07-20
"{'url': 'https://siu.austral.edu.ar/portal/cursada/elegir_materia/7602793e9c650f73f50703326259461d820d8d9e', 'cupos': '50 | Inscriptos: 16', 'description': 'Dictado de talleres de apoyo escolar nivel primario en modalidad presencial. Participar 1 vez por semana entre: semana del 12/8 a la semana del 4/11 Inducción presencial miércoles 7 de agosto, 13hs en FCB'}",2024-07-20
